usuarioId,contenidoId,valoracion,fecha
U010,C017,3,2022-10-01
U018,C024,3,2024-07-17
U020,C021,1,2024-03-24
U011,C005,1,2024-09-17
U001,C010,4,2022-11-19
U005,C019,1,2024-11-08
U005,C007,1,2024-11-11
U020,C022,3,2023-07-01
U003,C014,5,2022-10-06
U012,C029,3,2022-04-03
U012,C018,4,2023-10-06
U008,C004,2,2023-04-27
U013,C030,1,2024-05-23
U010,C025,2,2023-01-28
U009,C003,2,2023-01-09
U017,C007,3,2024-06-09
U003,C019,3,2024-08-22
U002,C008,4,2023-08-10
U004,C003,2,2022-05-17
U007,C008,5,2022-10-26
U017,C008,2,2024-10-18
U017,C023,2,2024-03-14
U013,C019,3,2024-10-14
U006,C020,1,2024-10-09
U007,C008,4,2023-04-30
U004,C016,5,2022-11-03
U018,C012,1,2022-10-14
U016,C014,3,2024-04-27
U013,C009,5,2024-06-03
U017,C029,2,2024-08-03
U006,C015,1,2022-06-27
U020,C017,5,2022-02-01
U015,C025,4,2022-12-16
U006,C026,3,2023-05-27
U020,C011,2,2023-01-19
U011,C006,3,2024-08-03
U017,C013,4,2023-04-01
U018,C026,1,2023-11-30
U010,C029,3,2023-01-26
U020,C019,1,2023-07-14
