contenidoId,nombre,tipo,descripcion,duracion,anioEstreno,calificacionPromedio
C1,Saltburn,Película,Un joven es introducido en la vida de una familia aristocrática británica,85,2004,3.87
C2,Stranger Things,Serie,Niños enfrentan criaturas sobrenaturales en un pueblo estadounidense,39,2014,4.17
C3,Dinastía,Serie,Drama sobre una rica familia de negocios,38,2017,4.98
C4,The Crown,Serie,Crónica de la vida de la reina Isabel II,30,2020,3.67
C5,Breaking Bad,Serie,Un profesor de química se convierte en fabricante de metanfetamina,41,2000,3.95
C6,Black Mirror,Serie,Episodios independientes sobre la tecnología y la sociedad,24,2005,4.18
C7,The Office,Serie,Comedia en una oficina de ventas de papel,60,2007,3.16
C8,El Irlandés,Película,Un asesino a sueldo recuerda sus tiempos con la mafia,59,2018,3.21
C9,Bird Box,Película,Una madre lucha por sobrevivir en un mundo posapocalíptico,71,2004,3.27
C10,Narcos,Serie,Historia del narcotráfico en Colombia,52,2003,4.89
C11,Dark,Serie,Viajes en el tiempo afectan a varias generaciones en un pueblo alemán,36,2016,4.57
C12,You,Serie,Un joven obsesionado con mujeres toma medidas extremas,37,2000,4.17
C13,Merlí,Serie,Un profesor de filosofía inspira a sus alumnos,50,2023,4.25
C14,Roma,Película,Historia de una empleada doméstica en México en los 70s,73,2011,3.95
C15,Parasite,Película,Familia pobre se infiltra en una casa rica,62,2012,3.01
C16,Elite,Serie,Drama adolescente en una escuela de élite en España,21,2009,3.29
C17,House of Cards,Serie,Juego político y ambición en Washington D.C.,60,2014,4.68
EPI001,Stranger Things - Episodio 1: El Desvanecimiento,Episodio,Episodio 1 de Stranger Things: El Desvanecimiento,49,2022,3.8
EPI002,Stranger Things - Episodio 2: La Señal,Episodio,Episodio 2 de Stranger Things: La Señal,56,2021,3.76
EPI003,Stranger Things - Episodio 3: El Experimento,Episodio,Episodio 3 de Stranger Things: El Experimento,51,2018,4.11
EPI004,Stranger Things - Episodio 4: Entre Sombras,Episodio,Episodio 4 de Stranger Things: Entre Sombras,43,2023,4.73
EPI005,Stranger Things - Episodio 5: El Demogorgon,Episodio,Episodio 5 de Stranger Things: El Demogorgon,60,2023,4.61
EPI006,Stranger Things - Episodio 6: El Otro Lado,Episodio,Episodio 6 de Stranger Things: El Otro Lado,51,2021,4.25
EPI007,Stranger Things - Episodio 7: Noche de Tormenta,Episodio,Episodio 7 de Stranger Things: Noche de Tormenta,57,2022,4.12
EPI008,Stranger Things - Episodio 8: La Cabaña,Episodio,Episodio 8 de Stranger Things: La Cabaña,59,2017,4.23
EPI009,Stranger Things - Episodio 9: Despertar,Episodio,Episodio 9 de Stranger Things: Despertar,55,2022,3.5
EPI010,Stranger Things - Episodio 10: Fuga,Episodio,Episodio 10 de Stranger Things: Fuga,55,2021,4.42
EPI011,Stranger Things - Episodio 11: La Puerta,Episodio,Episodio 11 de Stranger Things: La Puerta,40,2017,4.77
EPI012,Stranger Things - Episodio 12: Ecos,Episodio,Episodio 12 de Stranger Things: Ecos,59,2017,4.47
EPI013,Stranger Things - Episodio 13: Fuego Cruzado,Episodio,Episodio 13 de Stranger Things: Fuego Cruzado,47,2019,4.21
EPI014,Stranger Things - Episodio 14: Invasión,Episodio,Episodio 14 de Stranger Things: Invasión,48,2016,4.63
EPI015,Stranger Things - Episodio 15: La Señora del Mal,Episodio,Episodio 15 de Stranger Things: La Señora del Mal,60,2017,3.73
EPI016,Stranger Things - Episodio 16: Reencuentro,Episodio,Episodio 16 de Stranger Things: Reencuentro,57,2018,4.57
EPI017,Stranger Things - Episodio 17: Oscuridad Total,Episodio,Episodio 17 de Stranger Things: Oscuridad Total,43,2017,4.44
EPI018,Stranger Things - Episodio 18: La Caída,Episodio,Episodio 18 de Stranger Things: La Caída,42,2019,4.63
EPI019,Stranger Things - Episodio 19: El Portal,Episodio,Episodio 19 de Stranger Things: El Portal,47,2020,4.94
EPI020,Stranger Things - Episodio 20: Renacimiento,Episodio,Episodio 20 de Stranger Things: Renacimiento,59,2023,4.98
EP201,Stranger Things - Episodio 1: El Desvanecimiento,Episodio,Episodio 1 de Stranger Things: El Desvanecimiento,47,2020,4.47
EP202,Stranger Things - Episodio 2: La Señal,Episodio,Episodio 2 de Stranger Things: La Señal,51,2020,3.92
EP203,Stranger Things - Episodio 3: El Otro Lado,Episodio,Episodio 3 de Stranger Things: El Otro Lado,56,2018,4.21
EP204,Stranger Things - Episodio 4: Demogorgon,Episodio,Episodio 4 de Stranger Things: Demogorgon,57,2016,4.04
EP205,Stranger Things - Episodio 5: La Puerta Abierta,Episodio,Episodio 5 de Stranger Things: La Puerta Abierta,54,2017,4.21
EPC601,Black Mirror - Episodio 1: Capítulo 1,Episodio,Episodio 1 de Black Mirror: Capítulo 1,45,2019,4.17
EPC602,Black Mirror - Episodio 2: Capítulo 2,Episodio,Episodio 2 de Black Mirror: Capítulo 2,60,2017,3.59
EPC603,Black Mirror - Episodio 3: Capítulo 3,Episodio,Episodio 3 de Black Mirror: Capítulo 3,40,2018,4.74
EPC604,Black Mirror - Episodio 4: Capítulo 4,Episodio,Episodio 4 de Black Mirror: Capítulo 4,58,2022,3.68
EPC605,Black Mirror - Episodio 5: Capítulo 5,Episodio,Episodio 5 de Black Mirror: Capítulo 5,51,2018,4.1
EP1201,You - Episodio 1: Capítulo 1,Episodio,Episodio 1 de You: Capítulo 1,56,2023,3.59
EP1202,You - Episodio 2: Capítulo 2,Episodio,Episodio 2 de You: Capítulo 2,40,2023,4.86
EP1203,You - Episodio 3: Capítulo 3,Episodio,Episodio 3 de You: Capítulo 3,54,2022,4.05
EP1204,You - Episodio 4: Capítulo 4,Episodio,Episodio 4 de You: Capítulo 4,59,2020,3.57
EP1205,You - Episodio 5: Capítulo 5,Episodio,Episodio 5 de You: Capítulo 5,45,2022,4.94
EPC701,The Office - Episodio 1: Capítulo 1,Episodio,Episodio 1 de The Office: Capítulo 1,40,2016,4.5
EPC702,The Office - Episodio 2: Capítulo 2,Episodio,Episodio 2 de The Office: Capítulo 2,47,2022,4.35
EPC703,The Office - Episodio 3: Capítulo 3,Episodio,Episodio 3 de The Office: Capítulo 3,51,2023,4.45
EPC704,The Office - Episodio 4: Capítulo 4,Episodio,Episodio 4 de The Office: Capítulo 4,54,2019,3.73
EPC705,The Office - Episodio 5: Capítulo 5,Episodio,Episodio 5 de The Office: Capítulo 5,48,2021,4.62
