codigo,nombre,descripcion
ACC,Acción,Contenido con escenas de alta intensidad y adrenalina.
DRA,Drama,Narrativas centradas en conflictos emocionales profundos.
TER,Terror,Diseñado para asustar y generar tensión.
COM,Comedia,Historias destinadas a hacer reír al espectador.
ROM,Romance,Enfocado en relaciones amorosas.
FIC,Ciencia Ficción,Explora futuros tecnológicos o fenómenos científicos.
FAN,Fantasía,Universos alternativos con elementos mágicos.
DOC,Documental,Narrativas basadas en hechos reales.
ANI,Animación,Contenido animado para todas las edades.
MUS,Musical,Integración de música y narrativa.
HIS,Histórico,Ambientado en hechos del pasado.
CRI,Crimen,Historias sobre actividades criminales.
POL,Político,Tramas relacionadas con el poder y el gobierno.
BIO,Biográfico,Relata la vida de personas reales.
SUS,Suspenso,Gira en torno al misterio y la incertidumbre.
AVN,Aventura,Historias llenas de exploración y riesgo.
INF,Infantil,Diseñado para un público infantil.
